player_id,region,join_date,last_active_date,level,platform
-5ODZwU5gesI-2gkXvV455JvtNWy53Jah_pN5xXODL6X4VPHowuG6b5u4r3Vmyn9xymvnJf6jv2nPQ,EUW,2025-07-19,2025-07-19,145,PC
-6DqwjP-UporEwSsC1gH6t1xt38CkoKATFSdToZpIIvZlf_C6YkWZhn0AKqF9juLp7AHFAAzgzI6xw,EUW,2025-06-11,2025-06-11,471,PC
-7_j5931h9N7HiAu1O4yQ5l2PjWjMNTv15ROLAcdoNLTpkvSFNlKo-_44kn2n12GQVPq5UyzEHregQ,EUW,2024-12-18,2024-12-18,874,PC
-73AFOLISg8V32QjWvm2tI6G-T2zmkZ2j9aTwP5a1K7qYT8jfDDz5qm3Sv4injRSPjW-xeGP7_uiTA,EUW,2025-10-29,2025-10-29,39,PC
-8Aylys4T4m9u4D7mwKOVoDSTOFjPW18BwoxJFc1RogZtmx3UN6F8tFOoxKoBZHI7uqtrcmZafRteg,EUW,2024-10-03,2024-10-03,221,PC
-8e8DGG8DttYyPDnsdUjCB21jk8b67cYD0suO_Mana8N4pB1bG9PMHrlvnviMuGW_K0PCtsVp154eQ,EUW,2025-08-11,2025-08-11,656,PC
-8F3cOBbIRj4jy_ICEkXMVa3w6m-5n9Lwz3WpOtRWMfGe16reXltP52aKwv9FTUh3VVcbd4jC-PHMg,EUW,2025-01-25,2025-01-25,393,PC
-8uYeM1c4k434wUJ-bdxTmkyalvvt0nuepE8uuLG1B86LtQeYcw4wxYGeyemddhXyjvc6Zy3QQpR4A,EUW,2025-11-20,2025-11-20,318,PC
-8xor-H6j4UJQ5ogIYDl7gPC0HJRSRRBanctnWaNx0noxdlBkCLTfrpH0l6zVB_veEw4XFRKrfEclw,EUW,2025-12-14,2025-12-14,87,PC
-9Ir2oAEWS7bvGF0O4KQqkMa9OWYe9BeXP0h6AcEr2ECfNTdEcRc9pA-P5uZur37LlwV2a1aYcn6GA,EUW,2025-12-02,2025-12-02,437,PC
-9qCmxUI8Nc90ib65TxBV4Us_brOVOdAYx4EI1EfZMOJRzbKtf-jUlFjLAkkmHzyZTYAPXTSXnCAIQ,EUW,2025-11-19,2025-11-19,79,PC
-adxbtLJAvNTt1WkzmrMsxGBxuElCUS1EehoMH9MLoiM0o-FfPj4LyiVAcIckUMLgNGDwIBZ7OlUSg,EUW,2024-10-09,2024-10-09,643,PC
-AFO_vsGeHCq6pr_eeebPfvp88-i0PmFvfitgoBo0v0-aQtaSIGsj1TPasDCAWoJCoZhdaKWVMr_Ug,EUW,2025-12-03,2025-12-03,42,PC
-aloslu5hhHp29qhiS739NQGpBLIUuxu9DHz_hUsgd15wg1PNMnRYXTNALHYPVE5E7642shLheBfdA,EUW,2024-12-10,2024-12-10,490,PC
-An3kg2MSKRUrJZZXuyVvUEwksEtv5IHFXYR_5h8QeSCyHnJlzUYn-zGrc0R2XTtf2B7dERcNPjmmg,EUW,2024-12-10,2024-12-10,262,PC
-AP_chVd92Pudv4ktOX54VsICnar48_zuZ_VquXLJPD3-xhlpjyWLg6d55Pg4t1z1bHJz8ZyzHv2VA,EUW,2025-10-18,2025-10-18,26,PC
-ashWYVM3BGBbWmpz94kkxpWvunFgLKk37XQ9G6QvDChcmDP4qTK2t3VLkbkkoh6uRCDum-TFV-Nww,EUW,2025-07-18,2025-07-18,34,PC
-AvSboCYadiIFgYCEmzUnC94vNa0qen8BVntaaDpmVsPNweEeEXTZgY6k38t0OxI_Hi07-NmcgkAug,EUW,2025-03-28,2025-03-28,70,PC
-aW00kEwE5WGaOfAT09jERr1Pj4P5gu3pVCXVasOTpxhGsWGvgktGTJeV3u-jXcgjEaDM1sf8YioIw,EUW,2024-12-24,2024-12-24,20,PC
-b-fgH1NtlwpzWteykWzPWepG_p2XDE0GsieWfCX15vl3rHGmXgkBGDE78jWRyLhzntbp7BRBlmleA,EUW,2025-10-31,2025-10-31,28,PC
-bFXhRIkE-ctKqzEty7wTo-GceG1_3zWyrb4yWM_h4w-rht4zGwpKbdnuuT_Q-XmQo8GBx53zIJQAA,EUW,2024-10-08,2024-10-08,30,PC
-BmDM5yamdaU49ralXZuEO3-BpwcznCfyK0KKlwk6cJDo9Gt37zgEfbZXGXsOOZijBgVrmRCogO3fA,EUW,2025-06-15,2025-06-15,22,PC
-bOkBoikrCrEIgixo-wYXK1_bv5f2Kk4-IrmpeW3yjzWTqYMT9K5LzDqiPon6kvEeZEG2UhBa9B7ag,EUW,2024-12-23,2024-12-23,32,PC
-c5HBykWwyjb3hKshk7Q4gPZOPw9IMwnQjKfjZUDIfQGEEpdOinIJftLrJEeG9R9Pm48c73R1X8aKQ,EUW,2025-11-27,2025-11-27,18,PC
-cAGpG-ZWHMzSaf4XS2q5Dt-yVzrbifP1r5doQPesGd1sliIXz_2bCXrOlNk-wShUGOT85fXlXjT1A,EUW,2025-01-20,2025-01-20,54,PC
-caQzdT-RqjBCOyaxvmxZHlRB8DFjXS99uVBwLRhwf7pS4Wcv32nzBHMKPfcJIHQiQk1lip5qciJwg,EUW,2025-09-23,2025-09-23,68,PC
-cAxOW4o1jX7tQuKb5fsjoFCLFPXGXD2XWtez1t3dg0BhPkIFzPL_Z-3_D9CdF6gto2zQakL4vF9xA,EUW,2025-08-09,2025-08-09,38,PC
-cnqvDhOM3ugaD63d2s-1GnaHnTPw-B6OreW3ANTwOqsVShVzExcSZsAEcoJ2KoK5_4_8_I9llXP5g,EUW,2025-11-30,2025-11-30,360,PC
-Cou_RHDLZIhTzSvvtwlhfhMkawu3hggYcFybSUgol_zTPi7Oav6KSFQJ4NFoE4tidYBybfUrHx9nA,EUW,2025-09-23,2025-09-23,324,PC
-cr1S_Vt3-rx0oE6htMr-1efZF2Kv9FefUIZJ6qcv0cQ8z2E8qTWvS-q0_Rw91xpGBpKvxyDi3W5Cg,EUW,2024-11-20,2024-11-20,100,PC
-cuWArX5oZTynZNdVZ0yXb5Eanxoa3m415krbSRPLpzLXvK2Aa916z7t-ycmwm7aurn9Qgr81zBk-g,EUW,2024-11-25,2024-11-25,444,PC
-cXeRz5EpFzN3WkPcYTO3H-gZLq3bLDhUwOg3WVFIgf8hJz4r_T8EE81N0Jxokm5jam_zA6x-1jdcQ,EUW,2025-12-12,2025-12-12,1,PC
-d8119QkNS3-rrX_V_8BlkptLhbuGSfp-LEkHs4THN2N5GhxjiwDlVRzNMtx7bUdaf3J7XM1Sn3_dg,EUW,2025-07-20,2025-07-20,58,PC
-dCENEovVL-N7VqBgfixgSzz--8uuDQkNXy45iwTnLzJB_rehmEJOO0yDTg1jVgYX72LoVcU6NM3Jw,EUW,2025-10-16,2025-10-16,16,PC
-dgG_1JV0XYwzp9oGYNepWE3o28j9xJJJsst4FjSmeeupxYDPMSicKQJSECU0s41g73pHECBYR6PyQ,EUW,2025-10-16,2025-10-16,11,PC
-DHyuH72Ztp9vxO3SKeZLQ_QXAf7xcPfv7Ml88LAwQ_gpm2nIbR4uXPUVQIpsf8p-KXalX9cknDtug,EUW,2025-02-05,2025-02-05,182,PC
-dl6AJqqzhgIKmm7FKYUoCV-KY11psWSwdvWW6mu1pFC-O0Us0ZpwEUIXY4wUSxvmet-iKOW_NeXOg,EUW,2025-11-19,2025-11-19,65,PC
-DshBVttHBmOccaikliJrMsD_Sul4YLb1jKJXjmVgJmNlJ1HCZvwgp2WVQ6TUQKZl60TRbdHXVzbnw,EUW,2025-10-16,2025-10-16,11,PC
-e_H78tEjomTSsi69Wui0p_c9oHk-5UXJParq2vdOQJnuuvWgL_78mSWKxOiPouSzjV7U5ZtmCh3Ng,EUW,2025-10-18,2025-10-18,5,PC
-e7vOB728ki4h5OyikRfhNDsCvs3seT9g6jEzTl2NIcAk8gpXSYlDQ-bA8K5nrD5CWvE1OmNnHXwng,EUW,2025-06-01,2025-06-01,303,PC
-eapIzfVbaZK33N1M-SdLGe9RhxmSENdnlNN__bfGtBWEGJTVbzHss5e67ezKx_3rAy_XGuM_kkGOA,EUW,2025-03-06,2025-03-06,56,PC
-Eeeg58I5fMJ_suSa_LutMqmM4SOelbqFYyNVmgmWdavpv1E2wfWe7S3tyhdjeHfI7pgunFI8qCHHQ,EUW,2025-06-06,2025-06-06,76,PC
-EGd2YEIU-stiONwnlXBPmPwN52p5sQtNxN9PzxL6qAmSzUU0H4mMGQkQzVhQKhQfvAgTf6D6umI_A,EUW,2024-11-12,2024-11-12,93,PC
-EIR4JBzKtzeRAGzs7MCNTM-xZmvLsNq6ydBvkDWgEMq73zDlI77wINgnkhpQGZgshtDKxFBbRR-gw,EUW,2024-10-20,2024-10-20,318,PC
-EjtFX16NoD7bVAgvgpHqIg7mhUP0BdplrTrDK4dadBi4EryP9FeurozsEMSZEXqFJ_D9R8hNtp2sg,EUW,2025-10-20,2025-10-20,9,PC
-eK9bDqayD00bHmIvVdfHuEW2rMm6MXWob3k1C0oPN6LicfpiJgWT56-Gcj1dEbf-G0wnL1CEhlKKA,EUW,2025-10-16,2025-10-16,102,PC
-Et1l9ZdzYjMNxu_MKhlPPL7Xa7dU0labNxQanH-ZtjNgEoG6pj3H8FBIoJmbTKW-8D8DSvasXDy3g,EUW,2025-12-07,2025-12-07,139,PC
-Etpm4ZAEMLwzAmULwlTmWUiX3XRQS9uqb3ZCvjLKaOUm6Ma_SC5IOoDV54CaIWxtjNH0czxyY6Q5A,EUW,2024-09-27,2024-09-27,94,PC
-EvScgClL5EYEha1U8P__bdbZ7LewkGDWCv-ynyylHrT2hnUnJ0f2XbvDBiyc7kd2TvKG2YvOTihow,EUW,2025-12-13,2025-12-13,407,PC
-ExYwubbJfF8Mf3BK0l1CrkhW-o2NebjcZsTaHpuBgI5XdjFI5KC86lLplFZcDa6YPWVN7Vh3ZmCUQ,EUW,2024-12-07,2024-12-07,9,PC
-F1gaTki5VbS1uWoNO37p2rL8SAynoaksFfrA3WtXdFbBAbJ5JLQX8p4say8oaIxRtOjUhd0kEM5uQ,EUW,2025-03-05,2025-03-05,320,PC
-FFtYz0b6XYkeyBbwIvm8srE2_2gjYvoSqEWbVN2a28S6sZld0uJUZftgXjHqRp1knAOwNn0XD49Bw,EUW,2024-11-18,2024-11-18,143,PC
-fvb_q7UZ_Fk9kH8ZLt9jNt1b_YEvN41dN33gbj1pX6G8EpJy04zlHoBrxSRAWWiqO2K7Pv3GL7PHw,EUW,2024-12-14,2024-12-14,28,PC
-fwcq5UOKJAUAIiE4wkpkDdviNkf0Ekz7UmNOCV90CBNa020PtxHDPsR-EptUhHyCahQ6whyXgphfg,EUW,2024-11-18,2024-11-18,186,PC
-G-blQBdw0wUy49_EaEezkruSILbHAGhvfhzIp2jNCkktv128F0dzwgqPXr63sQYwG11_X1sALc22g,EUW,2025-09-26,2025-09-26,363,PC
-g4QYHLYVUn0VlDlRt3CYOAeqn7bWme4e5tmKCajj5S4-garfS0MuqMgPWk0z_jFH0yvq1f3U1BI3A,EUW,2025-06-01,2025-06-01,477,PC
-geEZKJPzMLchUesxAYOG8xX0pSGO1CYzIo7ym5ccLhhpHpVLclMx6BNNfmMNhv8ciVY9eWP41SLZw,EUW,2025-07-07,2025-07-07,85,PC
-GHa_44pDUEy2u_S30jtk-PeKRUCHm5F0CmdpKucSaw-3u4USwsRX_0kNJxHBXOG6Y2ir_dARm2vug,EUW,2024-12-14,2024-12-14,184,PC
-gjcg8d7r5rS1HZshDNRuneOptGWUKoXE8txy_7j0AotvagH2vHF91JLgilPYbGjlgcEP7VnIuUQaw,EUW,2025-07-12,2025-07-12,360,PC
-GjJM39SfcJUQw06Sna-_VP1GcywGLR05vBRnG32lNbermdBSgEPsV-ul9BTL-CeyrTk3Vm8B3tEvQ,EUW,2024-11-23,2024-11-23,630,PC
-GjVE3x-ewB4sQQZvAXZagwXHbsRZ0YRICSTDYNpZxEej04XuG2ublRDzqKib9rWhsZZI4sHNSXt8w,EUW,2024-09-29,2024-09-29,44,PC
-GTQlNuH3Rmueim8GE_kvmSemKj9JDzZhvxkXN7t7nUMDwryyvPQAi1xnzOp-38_nH2wQ4F0xG6uDA,EUW,2025-06-09,2025-06-09,19,PC
-gUB9oOoQe5ifmD6gl-4AQVZXiHmoy_Nd_jWJ3hqrkGjfdQw1_ZEQmL_i6lZNFnD9hHqgZtuWsaRDw,EUW,2024-09-30,2024-09-30,54,PC
-haVFymem2OZZI4ndbou7s5oVmJLAD972wK760nrOkDoFJh3tOTgNdv7Nb3PqxrhpSNcDUT5vnQWBg,EUW,2025-11-01,2025-11-01,6,PC
-hc11DPvnRrnCyXhbzONMepm8nyZB2IRCi9T83EStgLEFundJp2jINcqmX7Ytx56WgkN-4rPDGJSdw,EUW,2025-09-26,2025-09-26,47,PC
-hnoG4QMefE5zET481Teut23MQ-pz56CqZSoQtR2Ck8qX1-0770tb29RSjO_AZ88nbJ-qvA-jrKAfQ,EUW,2025-10-18,2025-10-18,391,PC
-hwszuwUqHzVl6Jy-rYg9BHOxP0HzbRtegnZK_4RLuZMMitdNKYidz5kOiAs5mIX1jf_s4dxigRtCQ,EUW,2025-12-11,2025-12-11,75,PC
-hxKmxIfrRbwJ2AuJBjESADrXKs2ogGspsVP_RurRh_d6bzheugPPciBOEjlKKXREI_cyt0BRcmgxQ,EUW,2025-06-11,2025-06-11,185,PC
-I47KqF0KDnJWPRM7iCTjDSDf9JaaZ07elrp0BBXb12Qm6HpXJ8KNT_udd07ugDmDjOnOAzLu__UZg,EUW,2025-02-06,2025-02-06,141,PC
-IIeCzfoNQGNjI84yftWlSLGwsbOIoW6rn3ENJdDHtmU-FVqOU-PieCR2CGbJraI0_TZgosEUKtFRA,EUW,2025-07-20,2025-07-20,56,PC
-iITGeDYsU0HD0A2xvGb9ue96Fm-JtL-Kj0qkSGd4g9gl5CpCtKv6NN4Dy5kXGMG272CwTG9m15M3g,EUW,2025-08-09,2025-08-09,359,PC
-iL60Km7d0pQa84_MONZM9EHZ4Smlx_pnjbbh-PXmCQOF8knDuJYyUgQJ8jcqeBHh3nsYoDbrFdO7g,EUW,2024-11-27,2024-11-27,28,PC
-iMMHD7zMK9oRbIqgG2HqQPNaR-EYE6IhmXOsMofDs33CIl6bRBWRRvx7PPvu1t8GhIpVIh5RGLtRQ,EUW,2025-02-10,2025-02-10,345,PC
-IVpY8TN7B2J9Pm5AcrmHvEOJV4K6Runc4Bp3E9B0mzIsBPBVL11BJHON6315AzxF7wtdHuPvm2VJg,EUW,2025-08-24,2025-08-24,5,PC
-ixAo0663rs953pjwVlLc-rYGg7KRANqzlfUwINpUnb7IDdP7LFBEXQqIZjfGfgARZW0uj40THdIaQ,EUW,2025-10-18,2025-10-18,38,PC
-JID0Qj8HTZGben1tmfphAnI2gDmJH6N7wEqq0c_m69nwsYI8g3LBP1QR1WD-AvZ8x2rEARUrrA7NA,EUW,2025-06-14,2025-06-14,37,PC
-KBRXQHdQSKv_PQG_qcLwzB4-LnSOtdZ4gIiijQexAzXAxju_evFyV8J1qZp58H2EBJQM5bqi0i8ng,EUW,2025-11-09,2025-11-09,87,PC
-kF2HMXtHPkmvqOyCpRTS8IcPQi_zjgkiuZFPkPX8pYh6VDmIT5Z_pFsuGmr__Ae74NuibTRjcJf9A,EUW,2024-11-28,2024-11-28,75,PC
-KhPzjEmGn_JSVelAT3cAIwRcdxQQrXR0b82HWXDOlrw3sGbF4U0bio5I5u76VFOlpqyVBzhejwPXQ,EUW,2025-06-09,2025-06-09,25,PC
-KJIryDxUm3mOR4DIZuXDNOnM4xg8CQvv1-_hEWcd6U1TW5Z3MlPykctlaBJ3Gi2JDRD0-v92FM-MQ,EUW,2025-08-17,2025-08-17,31,PC
-koRQ43Dn8qHnZb4yzYW4FvXKsOfImfTJJYQpNwuPclLztxU-ZqDtZpUck29gQaOGLqc8Zzm-GIv3A,EUW,2025-12-14,2025-12-14,19,PC
-ktmYyuB5MYreAQgxT7hWvDxqO9TzdyJ0_c73x4FpKeFO_QOWBxPtY2XQpnfuV8UvzbCktwnsqAqjg,EUW,2025-09-26,2025-09-26,211,PC
-KuNFfp1U93vGRVLHdgH1XXJ45-Mbunp6xkt-pqtLUr9Wy_V2Ogx641wALMu-Ih2TT1tOR8_gN-eoA,EUW,2025-10-15,2025-10-15,62,PC
-l1we4vvKJ9-89REw7eOUv7iG7DFZ7sl4s8OoAQB6lkzA-cGs05LuNc-x7WG9NCBYTke9IfApXsSsQ,EUW,2025-08-11,2025-08-11,12,PC
-Lbaz6vB9vuoqcSw62J14O6WuAFcf27-caL4znNTadOWW40pT7Psu7kHOz7Wqkc-hxvDi6Zbrv1bmw,EUW,2025-02-16,2025-02-16,34,PC
-lBF4FKS_KVqYr08YS1_PJNUnU8t7MoLBPegkNB_OoFtn6OQN9HFrBtxie9GbEGQPGTUzmpse9wDsg,EUW,2025-02-15,2025-02-15,128,PC
-LeeMy4q0SLgAlfANx1QmNANsqpKN8OXvumwrIKT4xqzlNAfCsm0HefJu9cNRsvWdbpPfLfXfjovSQ,EUW,2025-04-20,2025-04-20,10,PC
-lG4fxj2evuczSSdxGe0JXa4dgSBxm5RzmNvChR3D5Fk0a--ql4J-NaWAYwVoNZVlFTPWIXhp7B5oQ,EUW,2025-12-04,2025-12-04,67,PC
-lJi2Opft5IA74Kho28AtBIptAvCehFOdAEvG6VHU9wpoHbgE5xg03GrJ0JHLDQlNsh3LgpvB3PjpQ,EUW,2025-08-12,2025-08-12,422,PC
-lkYOXEiQUwlUlLD6_zqEitYayfPmNB90V2aoh7Nhbfsxe6FpZHp6y7xnGSM-PKdiCyTAYby6ltrNA,EUW,2025-12-10,2025-12-10,52,PC
-llZVlZd2-mOEWRbtkv9Yx_DZLJUO7pPQM448oCRHPmQHUt585W-PfFVGAQwE-FvaHFTQUB7T6KU_Q,EUW,2024-10-20,2024-10-20,35,PC
-lNJjhXZV9T-MemuyE6BbkWE0hjCsh7dF31pB6Vfz9WwHM4dUoPJ2EVEVVRamKp1ErCEgctFBxzSHQ,EUW,2025-01-24,2025-01-24,39,PC
-LQM4PqhY7hbLNw_qVPOpX97bd2PYb7EvKyAmazVW2FazA9TLad_0mIEHESvpDVgoX1bWs1aXdH2yg,EUW,2024-12-07,2024-12-07,70,PC
-lvOymxmr459s48_B3-8H7nKjqkC_SN5lVSSAFc6r4d0hhBw1klEkp9Q2NMTGYQHp1oah8iEE1PHgA,EUW,2025-12-12,2025-12-12,40,PC
-lxPOIXusMdVi-YDuhv2a-gP1_s5dl3_SY90HAsOntWuCK27e8pwgZ92dPioVCacDxxpiKgxn1OFRQ,EUW,2025-10-26,2025-10-26,144,PC
-LZsiTrXMopvnIel0wpPR6TsbQ9PAhSjFNtGmU8Zx5_43c4Zqbj93qWgGseJaxISEd_b_mmJGAmYaA,EUW,2025-08-11,2025-08-11,49,PC
-lzycd_6yJSkz9LgSCouGFPP9q3hIDqLEWDc2OGazf4Pt8NfHuzUGeb9DtVUctCaNHaDzUrUB5nEow,EUW,2025-08-13,2025-08-13,121,PC
-mdlPyHKGpruLehqbibm-9SD1rglaZIxS8u347ou83y3DOnhZQqTbL5OZvvhL7uDXau-oKgYTXsnjA,EUW,2025-08-03,2025-08-03,105,PC
-MNv0WkmIBPWPiOc2CXbWNcp_xNHFVXe9mGgpjFZ_9afAfMBZ9boOEEe6jZZcy66BvrloSzB__s76Q,EUW,2024-11-19,2024-11-19,721,PC
-muuKJl3Tbrvph87DXOsJmGja51w9EJCQ4fZ7avS3FFC_j3tAjeV6KNy-EzXK8xsQoHLGJbOoP-wfg,EUW,2025-11-01,2025-11-01,28,PC
-mUW7iUIfHiKVM9wSlbc6uvM2_xWKKhd9gBZUHDRh9G37aCiIH8mQI5emTmUowkzITqlRNFpZP_R-A,EUW,2024-12-08,2024-12-08,170,PC
-mWkqlOnVCGjen-2qDmMcs8oTkZNeyPd8IT7VZ6XiBWCiSCMAf23V5bIKvR2bEaxhzGO0jgsv6bjsQ,EUW,2025-11-25,2025-11-25,44,PC
-mzlUiwbJhrYCAHkvvkEOc5FwMDfori-UIkOYa8GxdeuZxF4BKdmZzXVphrhKgF3IPJwaLai6zMRxQ,EUW,2025-11-14,2025-11-14,20,PC
-n3ifqp09p0_KVBoGUi-5TLw_Cyb88bjZEp2jmf0cO9wSZFB4TYlc_meCGkKpzdgt598kzuZAkLxyA,EUW,2025-08-12,2025-08-12,92,PC
-n9IMFdE3OwSo_O5pIJreGq6UH0U8PJ4qEW9zll82EQm5pmfIhUzwUVga4Bm0kc4NVTJcmQqE0DLHQ,EUW,2024-10-25,2024-10-25,58,PC
-nAq8OT0iJhMLkdBpXsKWTqIgWPUV1LWuhz02mzjb1H92Zq0i9fmAmPmHa9-gLWeRN8nYhixxzN16A,EUW,2025-12-14,2025-12-14,8,PC
-nCWtlUoMbvdmHYmP9BWWp4QqI7XuYxnfTEcvNjuRChyPWisy9AreDY0lT2ilvQTqJe85zJ_juc88w,EUW,2025-08-18,2025-08-18,37,PC
-nHcJygJ3p-prKy6rfEgA9vUTyZHJ5RZ74J4NISkZrXmrBBkbsvh6fv5tZPHg4ouHudI36STi20CWQ,EUW,2025-07-06,2025-07-06,280,PC
-nYhvBhMS08D3iEJGCOJx1L_m58ILcXBwF0OXOjfq41akpUywq1sZPW0ru6JvZeElxH51AtZXPAPYQ,EUW,2025-11-07,2025-11-07,16,PC
-o__68TsNL40zdgk45rVflQ9Lrt8AQ1N6sx6VGlHk_uaX-mRamArT6RdL-RmW_mPk63DES6IHDRQlQ,EUW,2024-10-22,2024-10-22,47,PC
-O2pJ0HJIMmOevNJENP10vFIytos8XSU5i54NRoTN6ENFoY8fjKs182bZ7oye0QeC1P3Ta5ZDvaa0g,EUW,2024-11-23,2024-11-23,139,PC
-O4L6AqdBHVyRYBma1oChJNTLri93LTQw-t4a77h94cjSU_o8vav8x635sVMFwrGTQbJr8DLdFFQiA,EUW,2024-10-04,2024-10-04,267,PC
-O8pQMpp76i4xU2cWa4IIrzKwMHnKvRcxgRQwlTtYdb6AtzdMhPFcNOtxMQdQHG6GX3ZGt-Vr9ygZw,EUW,2025-12-11,2025-12-11,9,PC
-OChW5S69jd8JLxMRLgtrP950TBkuwduJKmSWAvi9Pe6ORAcP0tfAhmp1663JezxXT-w4ONi1qwJ_w,EUW,2025-06-06,2025-06-06,393,PC
-Ocz7QmtcMFuDXWBb-yp9UmZjKpf8XYHjnpgJJvBDLbyP2jaMDMVivtBF3wm7UPYC57m-ruNjn1B2Q,EUW,2025-06-12,2025-06-12,226,PC
-oDPpMitzZo44odfCiWaGXMTxkGAsEAXBtcJlj7Hc4-iMhHOZ5VpeYbvuKchYHGlCKRPDeSEaCKCAQ,EUW,2024-11-19,2024-11-19,60,PC
-okA64k92aQHbUWSt8mgaSwlVoGx8ArbajTMCSHd9PFhdFsPZpBBy5tnr9cSxTb0OjHWC7-Ji6J8Ww,EUW,2025-06-07,2025-06-07,105,PC
-oRL0g5sSbExC4ySPpltXjLcZ5tMm0l3rs8dnZusjsF7aMMts37jE7NyF9xGz_qel5CCIC26SdsOHw,EUW,2024-11-01,2024-11-01,54,PC
-oSbtX3Aa_N25zVe7jCb7Ah0G7GAcUFTyB3qxEyghvI6QgxID2qF06k6b2fFp2H0PQ0ih2XS1jT3Ug,EUW,2025-11-27,2025-11-27,67,PC
-PGsBVdlUL33sG8XSMuSg86hLKITUXRCJ72JEXwffMn6kPpjOWbkeXnZR-f1YgfGwSF0Ma9jLjUnYQ,EUW,2024-10-04,2024-10-04,37,PC
-pjbyu-In-PlQQux8JsKvT_qPYsU6K7-tybxKbiBX21QRA1zThcY1ZDiY9tYo2zfeKFsRsP3y06B7Q,EUW,2024-12-16,2024-12-16,196,PC
-pt92hL3pnQEFxs0C137W_8qGaPRZTiyF5sxmkM6SLih0K82xjJ1JKcmKBFWK5CYR9fRhn--iOVrkQ,EUW,2025-11-28,2025-11-28,243,PC
-pvvaAcdiDnbSccqeS_UpqIsPzPk1Y0cuw70o3_wBcrKEErqu2Fr0PH3kX-iVSvRa6jBkO6N9PQlDA,EUW,2025-08-02,2025-08-02,3,PC
-PYfkYuhD4xVn2DU9xj5ATjCctp1sy95K5Y0JNYr87QH2QRbHQMflgOkqvXdTiLxMvrGskUG85LPPQ,EUW,2025-12-03,2025-12-03,19,PC
-Q1a4rgseW5FawHMV2ZreLntmafQ4OFwnRJ3I8acdMJB_sIsxSASgCKCNfZ1yehrv8tbpIDoDfsPAQ,EUW,2025-10-21,2025-10-21,81,PC
